Date,Open,High,Low,Close,Adj Close,Volume,days
2018-07-25,1680.339966,1685.420044,1675.050049,1685.199951,1685.199951,3584400000,106
2018-07-26,1685.23999,1702.930054,1684.75,1695.359985,1695.359985,3667290000,107
2018-07-27,1695.25,1697.300049,1660.430054,1663.339966,1663.339966,3434370000,108
2018-07-30,1663.390015,1669.5,1652.72998,1653.130005,1653.130005,3261190000,109
2018-07-31,1653.569946,1675.650024,1653.569946,1670.800049,1670.800049,3906890000,110
2018-08-01,1670.869995,1673.22998,1657.540039,1669.26001,1669.26001,3501350000,111
2018-08-02,1668.98999,1682.300049,1662.329956,1682.099976,1682.099976,3501380000,112
2018-08-03,1682.079956,1687.300049,1668.349976,1673.369995,1673.369995,3043690000,113
2018-08-06,1673.25,1684.800049,1671.98999,1684.310059,1684.310059,2879020000,114
2018-08-07,1684.859985,1694.359985,1684.859985,1688.300049,1688.300049,3185440000,115
2018-08-08,1688.680054,1689.339966,1677.670044,1686.880005,1686.880005,2978070000,116
2018-08-09,1687.050049,1696.75,1686.430054,1690.890015,1690.890015,3066180000,117
2018-08-10,1689.319946,1695.790039,1680.77002,1686.800049,1686.800049,3265590000,118
2018-08-13,1686.810059,1689.099976,1670.619995,1675.319946,1675.319946,3173630000,119
2018-08-14,1676.189941,1694.959961,1676.189941,1692.579956,1692.579956,2986500000,120
2018-08-15,1691.599976,1691.599976,1663.530029,1670.670044,1670.670044,3656680000,121
2018-08-16,1691.599976,1691.599976,1663.530029,1685.75,1685.75,3232000000,122
2018-08-17,1685.449951,1693.709961,1679.969971,1692.949951,1692.949951,3037640000,123
2018-08-20,1693.790039,1701.130005,1690.180054,1698.689941,1698.689941,2757150000,124
2018-08-21,1698.910034,1722.290039,1698.910034,1718.050049,1718.050049,3174010000,125
2018-08-22,1717.75,1723.01001,1715.800049,1722.540039,1722.540039,2701250000,126
2018-08-23,1722.300049,1723.410034,1712.920044,1717.050049,1717.050049,2724450000,127
2018-08-24,1718.359985,1726.969971,1718.359985,1725.670044,1725.670044,2603010000,128
2018-08-27,1727.329956,1737.630005,1727.329956,1728.410034,1728.410034,2865070000,129
2018-08-28,1729.069946,1733.449951,1722.359985,1728.420044,1728.420044,2687770000,130
2018-08-29,1729.050049,1737.02002,1724.72998,1734.75,1734.75,2805520000,131
2018-08-30,1734.349976,1740.660034,1728.849976,1732.349976,1732.349976,2810450000,132
2018-08-31,1731.48999,1742.089966,1728.410034,1740.75,1740.75,2887220000,133
2018-09-04,1740.800049,1740.800049,1722.199951,1733.380005,1733.380005,3087420000,134
2018-09-05,1732.72998,1732.72998,1713.689941,1727.650024,1727.650024,3248780000,135
2018-09-06,1728.25,1731.420044,1713.810059,1714.469971,1714.469971,3144240000,136
2018-09-07,1713.829956,1722.619995,1706.640015,1713.180054,1713.180054,2976580000,137
2018-09-10,1714.890015,1723.810059,1714.48999,1717.469971,1717.469971,2751100000,138
2018-09-11,1717.140015,1723.459961,1710.310059,1718.400024,1718.400024,2904500000,139
2018-09-12,1718.25,1718.949951,1704.069946,1715.699951,1715.699951,3341280000,140
2018-09-13,1716.949951,1722.619995,1711.939941,1714.319946,1714.319946,3274090000,141
2018-09-14,1714.48999,1726,1712.810059,1721.719971,1721.719971,3179410000,142
2018-09-17,1721.660034,1722.280029,1702.709961,1703.550049,1703.550049,2967980000,143
